serverId,toolName,version,description,paramsSchema.json,resultSchema.json,defaultResponse.json,rateLimit.rps,latencyMs.default
search,search_query,0.1.0,Mock web search query tool,"{""type"": ""object"", ""properties"": {""q"": {""type"": ""string"", ""description"": ""Search query""}}, ""required"": [""q""]}","{""type"": ""object"", ""properties"": {""hits"": {""type"": ""array"", ""items"": {""type"": ""object"", ""properties"": {""title"": {""type"": ""string""}, ""url"": {""type"": ""string""}}, ""required"": [""title"", ""url""]}}, ""total"": {""type"": ""integer""}, ""generated_at"": {""type"": ""string""}}, ""required"": [""hits""]}","{""hits"": []}",2,150
search,news_headlines,0.1.0,Mock top headlines search,"{""type"": ""object"", ""properties"": {""topic"": {""type"": ""string"", ""description"": ""Topic to fetch headlines for""}}, ""required"": [""topic""]}","{""type"": ""object"", ""properties"": {""headlines"": {""type"": ""array"", ""items"": {""type"": ""object"", ""properties"": {""title"": {""type"": ""string""}, ""url"": {""type"": ""string""}, ""source"": {""type"": ""string""}, ""publishedAt"": {""type"": ""string""}}, ""required"": [""title"", ""url""]}}}, ""required"": [""headlines""]}","{""headlines"": []}",1,200
web,web_fetch,0.1.0,Mock HTTP fetcher,"{""type"": ""object"", ""properties"": {""url"": {""type"": ""string"", ""description"": ""URL to fetch""}}, ""required"": [""url""]}","{""type"": ""object"", ""properties"": {""status"": {""type"": ""integer""}, ""body"": {""type"": ""string""}}}","{""status"": 200, ""body"": ""stub""}",0,200
datasets,company_profile,0.1.0,Mock company intelligence lookup,"{""type"": ""object"", ""properties"": {""company"": {""type"": ""string"", ""description"": ""Company name""}}, ""required"": [""company""]}","{""type"": ""object"", ""properties"": {""profile"": {""type"": ""object"", ""properties"": {""overview"": {""type"": ""string""}, ""metrics"": {""type"": ""array"", ""items"": {""type"": ""object"", ""properties"": {""label"": {""type"": ""string""}, ""value"": {""type"": ""string""}}, ""required"": [""label"", ""value""]}}, ""customerSegments"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""productLines"": {""type"": ""array"", ""items"": {""type"": ""object"", ""properties"": {""name"": {""type"": ""string""}, ""description"": {""type"": ""string""}}, ""required"": [""name""]}}, ""recentMilestones"": {""type"": ""array"", ""items"": {""type"": ""object"", ""properties"": {""date"": {""type"": ""string""}, ""detail"": {""type"": ""string""}}, ""required"": [""date"", ""detail""]}}}, ""required"": [""overview""]}}, ""required"": [""profile""]}","{""profile"": {""overview"": ""stub overview"", ""metrics"": []}}",1,120
analysis,insight_compare,0.1.0,Mock synthesis tool combining research,"{""type"": ""object"", ""properties"": {""insights"": {""type"": ""array"", ""items"": {""type"": ""object""}}}, ""required"": [""insights""]}","{""type"": ""object"", ""properties"": {""themes"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""risks"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""confidence"": {""type"": ""string""}}, ""required"": [""themes"", ""risks""]}","{""themes"": [], ""risks"": []}",1,180
llm,llm_outline,0.1.0,Mock planning LLM,"{""type"": ""object"", ""properties"": {""topic"": {""type"": ""string""}, ""constraints"": {""type"": ""string""}}}","{""type"": ""object"", ""properties"": {""outline"": {""type"": ""array"", ""items"": {""type"": ""string""}}}}","{""outline"": []}",0,80
llm,llm_briefing,0.1.0,Mock briefing writer,"{""type"": ""object"", ""properties"": {""themes"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""audience"": {""type"": ""string""}}}","{""type"": ""object"", ""properties"": {""briefing"": {""type"": ""string""}}}","{""briefing"": ""stub briefing""}",0,100
llm,llm_action_plan,0.1.0,Mock action plan generator,"{""type"": ""object"", ""properties"": {""objectives"": {""type"": ""string""}, ""insights"": {""type"": ""array"", ""items"": {""type"": ""string""}}}}","{""type"": ""object"", ""properties"": {""actions"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""ownerRecommendations"": {""type"": ""object"", ""additionalProperties"": {""type"": ""string""}}}, ""required"": [""actions""]}","{""actions"": []}",0,90
llm,llm_quality_review,0.1.0,Mock quality assurance reviewer,"{""type"": ""object"", ""properties"": {""draft"": {""type"": ""string""}, ""criteria"": {""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""draft""]}","{""type"": ""object"", ""properties"": {""issues"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""status"": {""type"": ""string""}, ""suggestedFixes"": {""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""issues"", ""status""]}","{""issues"": [], ""status"": ""pass""}",0,60
llm,llm_summarize,0.1.0,Mock summarisation endpoint,"{""type"": ""object"", ""properties"": {""text"": {""type"": ""string"", ""description"": ""Text to summarise""}}, ""required"": [""text""]}","{""type"": ""object"", ""properties"": {""summary"": {""type"": ""string""}}}","{""summary"": ""stub summary""}",0,50
